CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 089/100 || Training Loss: 0.180864 || Avg Training Loss: 0.230314 || Training Accuracy: 0.933258 || Runtime: 0.14 mins
Epoch: 090/100 || Training Loss: 0.540157 || Avg Training Loss: 0.275574 || Training Accuracy: 0.920631 || Runtime: 0.14 mins
Epoch: 091/100 || Training Loss: 0.276834 || Avg Training Loss: 0.231999 || Training Accuracy: 0.928523 || Runtime: 0.14 mins
Epoch: 092/100 || Training Loss: 0.146696 || Avg Training Loss: 0.222633 || Training Accuracy: 0.932131 || Runtime: 0.14 mins
Epoch: 093/100 || Training Loss: 0.248832 || Avg Training Loss: 0.228810 || Training Accuracy: 0.931229 || Runtime: 0.14 mins
Epoch: 094/100 || Training Loss: 0.491979 || Avg Training Loss: 0.225162 || Training Accuracy: 0.929425 || Runtime: 0.15 mins
Epoch: 095/100 || Training Loss: 0.404828 || Avg Training Loss: 0.244825 || Training Accuracy: 0.929200 || Runtime: 0.14 mins
Epoch: 096/100 || Training Loss: 0.300483 || Avg Training Loss: 0.262778 || Training Accuracy: 0.924014 || Runtime: 0.14 mins
Epoch: 097/100 || Training Loss: 0.540713 || Avg Training Loss: 0.247265 || Training Accuracy: 0.928072 || Runtime: 0.14 mins
Epoch: 098/100 || Training Loss: 0.740228 || Avg Training Loss: 0.271211 || Training Accuracy: 0.919504 || Runtime: 0.14 mins
Epoch: 099/100 || Training Loss: 0.111303 || Avg Training Loss: 0.268255 || Training Accuracy: 0.919278 || Runtime: 0.14 mins
Epoch: 100/100 || Training Loss: 0.183273 || Avg Training Loss: 0.221950 || Training Accuracy: 0.930552 || Runtime: 0.14 mins

Testing Phase
Test Loss: 0.26113253831863403 || Testing Accuracy: 0.600346
Total time: 18.17
