id,observed_on,url,image_url,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
336913717,2026-01-31,https://www.inaturalist.org/observations/336913717,https://static.inaturalist.org/photos/612347067/medium.jpg,Oxalis smalliana,Redwood Sorrel,Oxalidaceae,Oxalis,Oxalis smalliana
336913811,2026-01-31,https://www.inaturalist.org/observations/336913811,https://static.inaturalist.org/photos/612347274/medium.jpg,Scoliopus bigelovii,California fetid adderstongue,Liliaceae,Scoliopus,Scoliopus bigelovii
336920444,2026-01-27,https://www.inaturalist.org/observations/336920444,https://inaturalist-open-data.s3.amazonaws.com/photos/612361184/medium.jpg,Epipactis helleborine,Broad-leaved helleborine,Orchidaceae,Epipactis,Epipactis helleborine
336928918,2026-01-30,https://www.inaturalist.org/observations/336928918,https://inaturalist-open-data.s3.amazonaws.com/photos/612379501/medium.jpg,Fragaria vesca,woodland strawberry,Rosaceae,Fragaria,Fragaria vesca
336991580,2026-02-01,https://www.inaturalist.org/observations/336991580,https://inaturalist-open-data.s3.amazonaws.com/photos/612504227/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
337027179,2026-02-01,https://www.inaturalist.org/observations/337027179,https://inaturalist-open-data.s3.amazonaws.com/photos/612577229/medium.jpg,Geranium dissectum,Cut-leaved crane's-bill,Geraniaceae,Geranium,Geranium dissectum
337065920,2026-01-25,https://www.inaturalist.org/observations/337065920,https://static.inaturalist.org/photos/612659274/medium.jpg,Hypochaeris radicata,Common Cat's-ear,Asteraceae,Hypochaeris,Hypochaeris radicata
337066018,2026-01-25,https://www.inaturalist.org/observations/337066018,https://static.inaturalist.org/photos/612659449/medium.jpg,Plantago lanceolata,ribwort plantain,Plantaginaceae,Plantago,Plantago lanceolata
337066160,2026-01-25,https://www.inaturalist.org/observations/337066160,https://static.inaturalist.org/photos/612659736/medium.jpg,Raphanus raphanistrum,Wild radish,Brassicaceae,Raphanus,Raphanus raphanistrum
337066263,2026-01-25,https://www.inaturalist.org/observations/337066263,https://static.inaturalist.org/photos/612660061/medium.jpg,Calendula arvensis,field marigold,Asteraceae,Calendula,Calendula arvensis
337066597,2026-01-29,https://www.inaturalist.org/observations/337066597,https://static.inaturalist.org/photos/612660888/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
337118688,2026-02-02,https://www.inaturalist.org/observations/337118688,https://inaturalist-open-data.s3.amazonaws.com/photos/612766067/medium.jpg,Woodwardia fimbriata,giant chain fern,Blechnaceae,Woodwardia,Woodwardia fimbriata
337127768,2026-01-28,https://www.inaturalist.org/observations/337127768,https://static.inaturalist.org/photos/612785022/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
337136074,2026-02-02,https://www.inaturalist.org/observations/337136074,https://static.inaturalist.org/photos/612800763/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
337136221,2026-02-02,https://www.inaturalist.org/observations/337136221,https://static.inaturalist.org/photos/612800906/medium.jpg,Fragaria vesca,woodland strawberry,Rosaceae,Fragaria,Fragaria vesca
337136458,2026-02-02,https://www.inaturalist.org/observations/337136458,https://static.inaturalist.org/photos/612801240/medium.jpg,Stachys bullata,California Hedge Nettle,Lamiaceae,Stachys,Stachys bullata
337136783,2026-02-02,https://www.inaturalist.org/observations/337136783,https://static.inaturalist.org/photos/612801756/medium.jpg,Solanum umbelliferum,bluewitch nightshade,Solanaceae,Solanum,Solanum umbelliferum
337150624,2026-01-28,https://www.inaturalist.org/observations/337150624,https://inaturalist-open-data.s3.amazonaws.com/photos/612829876/medium.jpg,Bellis perennis,Lawn daisy,Asteraceae,Bellis,Bellis perennis
337152010,2026-01-28,https://www.inaturalist.org/observations/337152010,https://inaturalist-open-data.s3.amazonaws.com/photos/612832520/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
337155660,2026-01-18,https://www.inaturalist.org/observations/337155660,https://static.inaturalist.org/photos/612838727/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
337155969,2026-01-24,https://www.inaturalist.org/observations/337155969,https://inaturalist-open-data.s3.amazonaws.com/photos/612840307/medium.jpg,Oxalis smalliana,Redwood Sorrel,Oxalidaceae,Oxalis,Oxalis smalliana
337156012,2026-01-24,https://www.inaturalist.org/observations/337156012,https://inaturalist-open-data.s3.amazonaws.com/photos/612840335/medium.jpg,Bellis perennis,Lawn daisy,Asteraceae,Bellis,Bellis perennis
337168095,2026-01-26,https://www.inaturalist.org/observations/337168095,https://inaturalist-open-data.s3.amazonaws.com/photos/612864504/medium.jpg,Claytonia perfoliata,miner's lettuce,Montiaceae,Claytonia,Claytonia perfoliata
337168757,2026-01-26,https://www.inaturalist.org/observations/337168757,https://inaturalist-open-data.s3.amazonaws.com/photos/612865815/medium.jpg,Oxalis smalliana,Redwood Sorrel,Oxalidaceae,Oxalis,Oxalis smalliana
