CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 085/100 || Training Loss: 0.142476 || Avg Training Loss: 0.080215 || Training Accuracy: 0.973393 || Runtime: 0.13 mins
Epoch: 086/100 || Training Loss: 0.072558 || Avg Training Loss: 0.099722 || Training Accuracy: 0.967982 || Runtime: 0.13 mins
Epoch: 087/100 || Training Loss: 0.164911 || Avg Training Loss: 0.105642 || Training Accuracy: 0.968433 || Runtime: 0.13 mins
Epoch: 088/100 || Training Loss: 0.007625 || Avg Training Loss: 0.099768 || Training Accuracy: 0.967982 || Runtime: 0.13 mins
Epoch: 089/100 || Training Loss: 0.753425 || Avg Training Loss: 0.100506 || Training Accuracy: 0.969335 || Runtime: 0.13 mins
Epoch: 090/100 || Training Loss: 0.028552 || Avg Training Loss: 0.124902 || Training Accuracy: 0.958286 || Runtime: 0.13 mins
Epoch: 091/100 || Training Loss: 0.069368 || Avg Training Loss: 0.089256 || Training Accuracy: 0.971139 || Runtime: 0.13 mins
Epoch: 092/100 || Training Loss: 0.188841 || Avg Training Loss: 0.066620 || Training Accuracy: 0.978579 || Runtime: 0.14 mins
Epoch: 093/100 || Training Loss: 0.054127 || Avg Training Loss: 0.072124 || Training Accuracy: 0.976099 || Runtime: 0.13 mins
Epoch: 094/100 || Training Loss: 0.062450 || Avg Training Loss: 0.062475 || Training Accuracy: 0.979932 || Runtime: 0.13 mins
Epoch: 095/100 || Training Loss: 0.101067 || Avg Training Loss: 0.067144 || Training Accuracy: 0.978579 || Runtime: 0.13 mins
Epoch: 096/100 || Training Loss: 0.008999 || Avg Training Loss: 0.080538 || Training Accuracy: 0.975197 || Runtime: 0.13 mins
Epoch: 097/100 || Training Loss: 0.414947 || Avg Training Loss: 0.087496 || Training Accuracy: 0.972492 || Runtime: 0.13 mins
Epoch: 098/100 || Training Loss: 0.147285 || Avg Training Loss: 0.082726 || Training Accuracy: 0.972266 || Runtime: 0.13 mins
Epoch: 099/100 || Training Loss: 0.065166 || Avg Training Loss: 0.079620 || Training Accuracy: 0.973168 || Runtime: 0.13 mins
Epoch: 100/100 || Training Loss: 0.003457 || Avg Training Loss: 0.057942 || Training Accuracy: 0.981511 || Runtime: 0.14 mins

Testing Phase
Test Loss: 2.945634365081787 || Testing Accuracy: 0.583045
Total time: 16.32 minutes
